Date,Open,High,Low,Volume,Close
2023-07-21,1.6354999542236328,1.6404999494552612,1.6200000047683716,2184057,1.6200000047683716
2023-07-24,1.6109999418258667,1.6384999752044678,1.5920000076293945,2758972,1.6299999952316284
2023-07-25,1.6449999809265137,1.6519999504089355,1.6200000047683716,3910060,1.6200000047683716
2023-07-26,1.6349999904632568,1.6369999647140503,1.600000023841858,8740697,1.6180000305175781
2023-07-27,1.6180000305175781,1.628999948501587,1.600000023841858,5135714,1.6004999876022339
2023-07-28,1.6100000143051147,1.6100000143051147,1.559999942779541,4340571,1.5800000429153442
2023-07-31,1.600000023841858,1.622499942779541,1.5800000429153442,5511747,1.587499976158142
2023-08-01,1.6100000143051147,1.6150000095367432,1.5540000200271606,5303275,1.5700000524520874
2023-08-02,1.5479999780654907,1.5520000457763672,1.5019999742507935,4336377,1.5490000247955322
2023-08-03,1.5490000247955322,1.5570000410079956,1.5160000324249268,3578732,1.5490000247955322